exp1,res1,exp2,res2,exp3,res3,exp4,res4,exp5,res5,exp6,res6,exp7,res7,exp8,res8,exp9,res9,exp10,res10,exp11,res11,exp12,res12,exp13,res13,exp14,res14
13.38388681,1,16.27142903,1,15.41141369,1,15.82378532,0,11.01612401,1,12.40684675,1,14.37510562,1,15.11013799,1,12.64069177,1,15.05041621,1,14.83048737,1,17.02095603,1,18.95760527,1,17.29483355,1
13.61300625,1,16.79278266,1,14.36424708,1,15.97430425,1,10.74704648,1,13.19165772,1,13.75643154,0,15.02572843,1,11.85740982,1,15.32149241,1,14.66022281,1,17.81049065,1,18.42753616,1,18.22831811,1
13.62179661,1,15.94224939,1,14.44679274,1,15.29309725,1,11.07181583,1,13.27128828,1,13.84703886,1,13.9636701,1,13.0974003,1,15.68886695,0,15.32567378,0,17.28975539,1,19.2702529,1,17.66169351,1
13.20737893,1,15.78011025,1,14.13834934,1,15.22368112,1,11.16352297,0,14.57422106,1,14.68100213,1,14.98062017,1,10.78172134,1,14.69667037,0,16.18902422,1,17.05369479,1,18.98368252,1,18.34219682,1
13.2878198,1,16.33299926,1,14.39668992,1,15.05575827,1,11.67613289,1,14.46699525,1,15.03610376,1,15.9425216,1,11.69266569,1,14.4103689,1,16.21988749,1,17.49110152,1,18.50053603,1,18.05736684,1
13.63890533,1,15.8166648,1,14.77617029,1,15.12580121,1,11.01850323,1,13.61963688,1,14.27145493,1,15.79407184,1,11.48055203,1,15.5489121,1,14.86543636,1,16.41997473,1,18.48277123,1,17.16918447,1
13.09748378,1,14.62451416,1,14.66481125,1,15.23717937,1,10.73701573,1,13.68024527,1,14.93444038,1,15.54086724,1,12.43025886,1,14.64996848,1,15.6960923,1,17.12045456,1,18.01491421,0,16.5585197,0
13.62261381,1,16.09226018,1,14.54349683,0,15.98170933,1,10.5802152,1,14.08498464,1,14.59853584,1,15.66301874,1,11.72268918,1,15.58382617,1,16.1672295,1,18.22383902,1,18.93093163,0,18.36241687,1
13.45061735,0,15.76395292,1,14.07129434,1,15.42387102,1,10.90740059,1,13.40751711,0,13.72650004,1,15.19459515,0,11.77973142,1,15.29506522,1,15.22092223,1,17.21281991,1,18.70221082,1,18.48145461,1
13.14608162,1,15.92791282,0,15.25595611,1,16.0519747,1,11.30613859,1,13.62759311,1,13.95632888,1,16.24300678,1,11.18659022,0,14.48735438,1,15.59954412,1,17.19135231,0,18.14975432,1,16.91162111,1
13.67010618,1,15.54099378,1,14.57024848,1,16.03033489,1,10.54274219,1,13.86481388,1,14.11253747,1,15.12582905,0,11.17954377,1,14.54247192,1,15.02593744,1,16.84954586,0,17.51844882,1,17.61941603,0
12.73207834,1,15.69540133,1,13.85156712,1,16.06548624,1,10.73257215,1,13.44806758,1,14.70940287,1,15.98230941,1,11.45333951,1,14.47615963,1,15.96422844,1,16.62689908,1,18.11456302,1,17.60665524,0
14.15695549,0,15.6018451,1,14.84944363,1,15.57530787,1,10.41846142,1,13.30262422,0,14.45489523,1,15.71987808,1,11.22619656,1,14.6074759,1,15.90910236,1,17.52759892,1,18.43258473,1,17.60855513,1
13.6972246,1,15.81343409,1,14.62786241,1,14.89727013,1,11.26610762,1,13.96324067,1,14.18056163,0,15.22158076,1,11.45669803,1,15.22553673,1,15.69768219,1,16.88752644,1,17.92757366,1,18.26703011,1
13.3706811,1,14.91393293,1,14.70600846,1,15.08554004,1,11.04898156,1,14.16411097,1,14.29033832,1,16.32946552,1,11.5507036,1,15.3343466,1,15.24047305,1,17.12293642,1,18.48464963,1,18.67951493,1
13.51908942,1,16.19632129,1,14.64234061,1,15.92545555,1,11.14066178,1,14.21691193,1,13.85159722,1,15.37980227,1,12.12610865,1,14.80042513,1,15.78008271,1,16.56131913,1,17.98499849,1,18.0540272,1
13.73300464,1,15.60386105,1,14.09506861,1,16.49448667,1,11.59919074,1,13.38578045,1,14.21600948,1,14.77554099,1,11.01567466,1,15.28871839,1,14.98433374,1,17.06418473,1,18.06571694,1,18.22785153,1
12.54263822,1,14.93752341,1,14.86344005,1,15.78621594,0,11.46253803,1,12.93070275,1,14.07772905,1,14.45705348,1,11.14279588,1,15.40323643,1,14.94871078,1,17.33424415,1,18.59831953,1,18.56440525,1
12.17792977,1,15.01130397,1,14.40612571,1,14.56589994,1,11.50055487,1,14.05045624,1,15.15253804,0,14.58019638,1,11.07117465,1,14.76124481,1,14.79557406,1,17.15004658,1,18.05447082,1,18.20770738,1
